Chinese,Trad.,Pinyin,English Definition
上去,,shàng qù,to go up
人家,,rén jiā,household; dwelling; family; sb else's house; household business; house of woman's husband-to-be; Classifiers: 户
条,條,tiáo,"strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc)"
大道,,dà dào,main street; avenue
岔道,,chà dào,side road; byway
干扰,干擾,gān rǎo,to disturb; to interfere; perturbation; interference (physics)
已经,已經,yǐ jīng,already
不了,,bù liǎo,unable to; without end
这些,這些,zhè xiē,these
事情,,shì qing,affair; matter; thing; business; Classifiers: 件
给,給,gěi,to; for; for the benefit of; to give; to allow; to do sth (for sb); (grammatical equivalent of 被 ); (grammatical equivalent of 把 ); (sentence intensifier)
理顺,理順,lǐ shùn,
留下,,liú xià,to leave behind; to stay behind; to remain; to keep; not to let (sb) go
坏,壞,huài,bad; spoiled; broken; to break down; (suffix) to the utmost
去掉,,qù diào,to get rid of; to exclude; to eliminate; to remove; to delete; to strip out; to extract
保证,保證,bǎo zhèng,guarantee; to guarantee; to ensure; to safeguard; to pledge; Classifiers: 个
你,,nǐ,"you (informal, as opposed to courteous 您 )"
今后,今後,jīn hòu,hereafter; henceforth; in the future; from now on
能够,能夠,néng gòu,to be capable of; to be able to; can
修炼,修煉,xiū liàn,(of Taoists) to practice austerities; to practice asceticism
但,,dàn,but; yet; however; only; merely; still
必须,必須,bì xū,to have to; must; compulsory; necessarily
来,來,lái,to come; to arrive; to come round; ever since; next
大法,,dà fǎ,
如果,,rú guǒ,if; in case; in the event that
抱,,bào,to hold; to carry (in one's arms); to hug; to embrace; to surround; to cherish
着,著,zhe,aspect particle indicating action in progress
各种,各種,gè zhǒng,every kind of; all kinds of; various kinds
执,執,zhí,to execute (a plan); to grasp
心,,xīn,heart; mind; intention; center; core; Classifiers: 颗
求,,qiú,to seek; to look for; to request; to demand; to beseech
功能,,gōng néng,function; capability
治病,,zhì bìng,to treat an illness
听,聽,tīng,"to listen; to hear; to obey; a can (loanword from English ""tin""); classifier for canned beverages"
理论,理論,lǐ lùn,theory; Classifiers: 个 ; to argue; to take notice of
或者,,huò zhě,or; possibly; maybe; perhaps
什么,什麼,shén me,what?; who?; something; anything
目,,mù,eye; item; section; list; catalogue; table of contents; order (taxonomy); goal; name; title
地,,de,"-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct"
这,這,zhè,"this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing)"
不行,,bù xíng,won't do; be out of the question; be no good; not work; not be capable
件,,jiàn,"item; component; classifier for events, things, clothes etc"
这样,這樣,zhè yàng,this kind of; so; this way; like this; such
机会,機會,jī huì,opportunity; chance; occasion; Classifiers: 个
多,,duō,"many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means ""how"""
会,會,huì,can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; Classifiers: 个 [ge4]; a moment (Taiwan pr. for this sense is [hui3])
老,,lǎo,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough
下去,,xià qù,to go down; to descend; to go on; to continue; (of a servant) to withdraw
觉,覺,jiào,a nap; a sleep; Classifiers: 场
直接,,zhí jiē,direct; opposite: indirect 间接 ; immediate; directly; straightforward
听到,聽到,tīng dào,to hear
真是,,zhēn shi,"indeed; truly; (coll.) (used to express disapproval, annoyance etc about sth)"
将来,將來,jiāng lái,(tương lai) in the future; future; the future; Classifiers: 个
段,,duàn,"surname Duan; paragraph; section; segment; stage (of a process); classifier for stories, periods of time, lengths of thread etc"
时间,時間,shí jiān,time; period; Classifiers: 段
非常,,fēi cháng,(phi thường) very; very much; unusual; extraordinary
可喜,,kě xǐ,making one happy; gratifying; heartening
缘份,緣份,yuán fèn,also written 緣分 |缘分 ; fate or chance that brings people together; predestined affinity or relationship; (Budd.) destiny
大家,,dà jiā,everyone; influential family; great expert
坐,,zuò,"surname Zuo; to sit; to take a seat; to take (a bus, airplane etc); to bear fruit; variant of 座"
这里,這裡,zhè lǐ,here
想,,xiǎng,to think; to believe; to suppose; to wish; to want; to miss (feel wistful about the absence of sb or sth)
就是,,jiù shì,(emphasizes that sth is precisely or exactly as stated); precisely; exactly; even; if; just like; in the same way as
度,,dù,"to pass; to spend (time); measure; limit; extent; degree of intensity; degree (angles, temperature etc); kilowatt-hour; classifier for events and occurrences"
吗,嗎,ma,"(question particle for ""yes-no"" questions)"
哪,,nǎ,how; which
那么,那麼,nà me,like that; in that way; or so; so; so very much; about; in that case
心性,,xīn xìng,one's nature; temperament
要求,,yāo qiú,to request; to require; to stake a claim; to ask; to demand; Classifiers: 点
就要,,jiù yào,will; shall; to be going to
得,,dé,to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished
当作,當作,dàng zuò,to treat as; to regard as
一个,一個,yī gè,a; an
炼,"煉, 鍊",liàn,to refine; to smelt; variant of 链
放弃,放棄,fàng qì,to renounce; to abandon; to give up
各,,gè,each; every
种,種,zhòng,to plant; to grow; to cultivate
不到,,bù dào,not to arrive; not reaching; insufficient; less than
告诉,告訴,gào su,to tell; to inform; to let know
真理,,zhēn lǐ,truth; Classifiers: 个
整,,zhěng,exactly; in good order; whole; complete; entire; in order; orderly; to repair; to mend; to renovate; (coll.) to fix sb; to give sb a hard time; to mess with sb
过程,過程,guò chéng,course of events; process; Classifiers: 个
不断,不斷,bù duàn,unceasing; uninterrupted; continuous; constant
去,,qù,to go; to go to (a place); (of a time etc) last; just passed; to send; to remove; to get rid of; to reduce; to be apart from in space or time; to die (euphemism); to play (a part); (when used either before or after a verb) to go in order to do sth; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation)
常人,,cháng rén,ordinary person
中,,zhōng,China; Chinese; surname Zhong; within; among; in; middle; center; while (doing sth); during; (dialect) OK; all right
你争我夺,你爭我奪,nǐ zhēng wǒ duó,"lit. you fight, I snatch (idiom); to compete fiercely offering no quarter; fierce rivalry; tug-of-war"
尔虞我诈,爾虞我詐,ěr yú wǒ zhà,lit. you hoodwink me and I cheat you (idiom); fig. mutual deception; each tries to outwit the other; dog eats dog and devil take the hindmost
为了,為了,wèi le,in order to; for the purpose of; so as to
点,點,diǎn,point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更 ; dot stroke in Chinese characters; classifier for items
利益,,lì yì,benefit; (in sb's) interest; Classifiers: 个
伤害,傷害,shāng hài,to injure; to harm
放下,,fàng xià,to lay down; to put down; to let go of; to relinquish; to set aside; to lower (the blinds etc)
尤其,,yóu qí,especially; particularly
更,,gèng,more; even more; further; still; still more
但是,,dàn shì,but; however
净化,淨化,jìng huà,to purify
只,秖,zhǐ,only; merely; just; but; grain that has begun to ripen; variant of 只
局限,,jú xiàn,to limit; to confine; to restrict sth within set boundaries
强调,強調,qiáng diào,to emphasize (a statement); to stress
一点,一點,yī diǎn,a bit; a little; one dot; one point
放,,fàng,to put; to place; to release; to free; to let go; to let out; to set off (fireworks)
不下,,bù xià,"to be not less than (a certain quantity, amount etc)"
无能为力,無能為力,wú néng wéi lì,impotent (idiom); powerless; helpless
宇宙,,yǔ zhòu,universe; cosmos
理,,lǐ,texture; grain (of wood); inner essence; intrinsic order; reason; logic; truth; science; natural science (esp. physics); to manage; to pay attention to; to run (affairs); to handle; to put in order; to tidy up
按照,,àn zhào,according to; in accordance with; in the light of; on the basis of
佛家,,fó jiā,Buddhism; Buddhist
因缘,因緣,yīn yuán,chance; opportunity; predestined relationship; (Buddhist) principal and secondary causes; chain of cause and effect
关系,關係,guān xi,relation; relationship; to concern; to affect; to have to do with; guanxi; Classifiers: 个
生老病死,,shēng lǎo bìng sǐ,"lit. to be born, to grow old, to get sick and to die; fig. the fate of humankind (i.e. mortality)"
存在,,cún zài,to exist; to be; existence
以前,,yǐ qián,before; formerly; previous; ago
过,過,guò,surname Guo; to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-
坏事,壞事,huài shì,bad thing; misdeed; to ruin things
而,,ér,and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast)
产生,產生,chǎn shēng,to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate; to appear; appearance; emergence; generation; production; yield
业,業,yè,surname Ye; line of business; industry; occupation; job; employment; school studies; enterprise; property; (Buddhism) karma; deed; to engage in; already
力,,lì,surname Li; power; force; strength; ability; strenuously
才,纔,cái,ability; talent; sb of a certain type; a capable individual; only; only then; just now; a moment ago; just now; (indicating sth happening later than expected); (preceded by a clause of condition or reason) not until; (followed by a numerical clause) only
造成,,zào chéng,to bring about; to create; to cause
魔,,mó,devil; magic
难,難,nán,difficult (to...); problem; difficulty; difficult; not good
遭罪,,zāo zuì,to endure; to suffer hardships; hard time; nuisance
还,還,hái,still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else
债,債,zhài,debt; Classifiers: 笔
所以,,suǒ yǐ,therefore; as a result; so; the reason why
谁,誰,shéi,who; also pr. [shui2]
随便,隨便,suí biàn,as one wishes; as one pleases; at random; negligent; casual; wanton
改动,改動,gǎi dòng,to alter; to modify; to revise
等于,等於,děng yú,to equal; to be tantamount to
欠债,欠債,qiàn zhài,to owe a debt; the sum owed
可以,,kě yǐ,can; may; possible; able to; not bad; pretty good
任意,,rèn yì,arbitrary; at will; at random
否则,否則,fǒu zé,if not; otherwise; else; or else
事,,shì,matter; thing; item; work; affair; Classifiers: 件
有的,,yǒu de,(there are) some (who are...); some (exist)
以为,以為,yǐ wéi,to believe; to think; to consider; to be under the impression
好事,,hǎo shì,"good action, deed, thing or work (also sarcastic, ""a fine thing indeed""); charity; happy occasion; Daoist or Buddhist ceremony for the souls of the dead"
依我看,,yī wǒ kàn,in my opinion
治,,zhì,to rule; to govern; to manage; to control; to harness (a river); to treat (a disease); to wipe out (a pest); to punish; to research
推移,,tuī yí,(of time) to elapse or pass; (of a situation) to develop or evolve
转化,轉化,zhuǎn huà,to change; to transform; isomerization (chemistry)
并,"並, 併",bìng,and; furthermore; also; together with; (not) at all; simultaneously; to combine; to join; to merge; to combine; to amalgamate
拿下,,ná xià,"to arrest; to capture; to seize; to win (a set, a game etc)"
除去,,chú qù,to eliminate; to remove; except for; apart from
消除,,xiāo chú,to eliminate; to remove
要是,,yào shi,if
彻底,徹底,chè dǐ,thorough; thoroughly; complete
清除,,qīng chú,to clear away; to eliminate; to get rid of
达到,達到,dá dào,to reach; to achieve; to attain
低,,dī,low; beneath; to lower (one's head); to let droop; to hang down; to incline
看到,,kàn dào,see (that); note
不能,,bù néng,cannot; must not; should not
随意,隨意,suí yì,as one wishes; according to one's wishes; at will; voluntary; conscious
破坏,破壞,pò huài,destruction; damage; to wreck; to break; to destroy
者,,zhě,"(after a verb or adjective) one who (is) ...; (after a noun) person involved in ...; -er; -ist; (used after a number or 后  to refer to sth mentioned previously); (used after a term, to mark a pause before defining the term); (old) (used at the end of a command); (old) this"
出于,出於,chū yú,due to; to stem from
慈悲,,cí bēi,mercy
一些,,yī xiē,some; a few; a little
帮,幫,bāng,"to help; to assist; to support; for sb (i.e. as a help); hired (as worker); side (of pail, boat etc); outer layer; upper (of a shoe); group; gang; clique; party; secret society"
允许,允許,yǔn xǔ,to permit; to allow
完全,,wán quán,complete; whole; totally; entirely
人治,,rén zhì,rule of man
病根,,bìng gēn,an incompletely cured illness; an old complaint; the root cause of trouble
除了,,chú le,besides; apart from (... also...); in addition to; except (for)
从,從,cóng,surname Cong; from; through; via; to follow; to obey; to engage in (an activity); never (in negative sentence); (Taiwan pr. [zong4]) retainer; assistant; accomplice; related by common paternal grandfather or earlier ancestor
走出,,zǒu chū,to leave (a room etc); to go out through (a door etc)
出门,出門,chū mén,to go out; to leave home; to go on a journey; away from home; (of a woman) to get married
还是,還是,hái shi,or; still; nevertheless; had better
和,龢,hé,"surname He; Japanese (food, clothes etc); and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means ""and"" or ""with""; old variant of 和 ; harmonious"
样,樣,yàng,"manner; pattern; way; appearance; shape; classifier: kind, type"
争夺,爭奪,zhēng duó,to fight over; to contest; to vie over
怎么,怎麼,zěn me,how?; what?; why?
绝对,絕對,jué duì,absolute; unconditional
,,,
最,,zuì,most; the most; -est (superlative suffix)
珍贵,珍貴,zhēn guì,precious
发出,發出,fā chū,"to issue (an order, decree etc); to send out; to dispatch; to produce (a sound); to let out (a laugh)"
念,,niàn,"to read; to study (a subject); to attend (a school); to read aloud; to miss (sb); idea; remembrance; twenty (banker's anti-fraud numeral corresponding to 廿 , 20)"
佛教,,fó jiào,Buddhism
佛,,fó,Buddha; Buddhism
性,,xìng,"nature; character; property; quality; attribute; sexuality; sex; gender; suffix forming adjective from verb; suffix forming noun from adjective, corresponding to -ness or -ity; essence; Classifiers: 个"
出,,chū,"to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc"
者,,zhě,"(after a verb or adjective) one who (is) ...; (after a noun) person involved in ...; -er; -ist; (used after a number or 后 to refer to sth mentioned previously); (used after a term, to mark a pause before defining the term); (old) (used at the end of a command); (old) this"
们,們,men,"plural marker for pronouns, and nouns referring to individuals"
意思,,yì si,"idea; opinion; meaning; wish; desire; interest; fun; token of appreciation, affection etc; Classifiers: 个 ; to give as a small token; to do sth as a gesture of goodwill etc"
叫,,jiào,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood)
看,,kàn,to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger)
生命,,shēng mìng,life; living; biological; Classifiers: 个
中产,中產,zhōng chǎn,middle class; bourgeois
生,,shēng,to be born; to give birth; life; to grow; raw; uncooked; student
空间,空間,kōng jiān,"empty space; room; outer space; space (physics, math.); (fig.) scope; leeway"
许,許,xǔ,surname Xu; to allow; to permit; to promise; to praise; somewhat; perhaps
制造,製造,zhì zào,to manufacture; to make
物质,物質,wù zhì,matter; substance; material; materialistic; Classifiers: 个
相互,,xiāng hù,each other; mutual
运动,運動,yùn dòng,to move; to exercise; sports; exercise; motion; movement; campaign; Classifiers: 场
下,,xià,"down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action"
也就是说,也就是說,yě jiù shì shuō,in other words; that is to say; so; thus
最早,,zuì zǎo,earliest
来源于,來源於,lái yuán yú,to originate in
本来,本來,běn lái,original; originally; at first; it goes without saying; of course
善良,,shàn liáng,good and honest; kindhearted
具有,,jù yǒu,to have; to possess
真,,zhēn,really; truly; indeed; real; true; genuine
善,,shàn,good (virtuous); benevolent; well-disposed; good at sth; to improve or perfect
忍,,rěn,to bear; to endure; to tolerate; to restrain oneself
这种,這種,zhè zhǒng,this; this kind of; this sort of; this type of
特性,,tè xìng,property; characteristic
人生,,rén shēng,life (one's time on earth)
出来,出來,chū lái,to come out; to appear; to arise
同性,,tóng xìng,same nature; homosexual
体,體,tǐ,body; form; style; system; substance; to experience; aspect (linguistics)
发生,發生,fā shēng,to happen; to occur; to take place; to break out
群体,群體,qún tǐ,community; colony
社会关系,社會關係,shè huì guān xì,social relation
从中,從中,cóng zhōng,from within; therefrom
有些,,yǒu xiē,some; somewhat
可能,,kě néng,might (happen); possible; probable; possibility; probability; maybe; perhaps; Classifiers: 个
增加,,zēng jiā,to raise; to increase
私心,,sī xīn,selfishness; selfish motives
慢慢,,màn màn,slowly
降低,,jiàng dī,to reduce; to lower; to bring down
呆,,dāi,foolish; stupid; expressionless; blank; to stay
掉,,diào,"to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair); (used after certain verbs to express completion, fulfillment, removal etc)"
可是,,kě shì,but; however; (used for emphasis) indeed
另,,lìng,other; another; separate; separately
又,,yòu,(once) again; also; both... and...; and yet; (used for emphasis) anyway
变,變,biàn,to change; to become different; to transform; to vary; rebellion
太,,tài,highest; greatest; too (much); very; extremely
继续,繼續,jì xù,to continue; to proceed with; to go on with
最后,最後,zuì hòu,final; last; finally; ultimate
人类,人類,rén lèi,humanity; human race; mankind
当中,當中,dāng zhōng,among; in the middle; in the center
步,,bù,surname Bu; a step; a pace; walk; march; stages in a process; situation
上来,上來,shàng lái,to come up; to approach; (verb complement indicating success)
站,,zhàn,station; to stand; to halt; to stop; branch of a company or organization; website
角度,,jiǎo dù,angle; point of view
大,,dà,big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother
应该,應該,yīng gāi,ought to; should; must
销毁,銷毀,xiāo huǐ,to destroy (by melting or burning); to obliterate
再,,zài,"again; once more; re-; second; another; then (after sth, and not until then)"
一次,,yī cì,first; first time; once; (math.) linear (of degree one)
构成,構成,gòu chéng,to constitute; to form; to compose; to make up; to configure (computing)
特殊,,tè shū,special; particular; unusual; extraordinary
环境,環境,huán jìng,environment; circumstances; surroundings; Classifiers: 个 ; ambient
所有,,suǒ yǒu,all; to have; to possess; to own
一样,一樣,yī yàng,same; like; equal to; the same as; just like
另外,,lìng wài,additional; in addition; besides; separate; other; moreover; furthermore
真相,,zhēn xiàng,the truth about sth; the actual facts
迷,,mí,to bewilder; crazy about; fan; enthusiast; lost; confused
消,,xiāo,to disappear; to vanish; to eliminate; to spend (time); have to; need
返,,fǎn,to return (to)
本,,běn,"root; stem; origin; source; this; the current; original; inherent; originally; classifier for books, periodicals, files etc"
归真,歸真,guī zhēn,to die (Buddhism)
做人,,zuò rén,to conduct oneself; to behave with integrity
被,,bèi,quilt; by; (indicates passive-voice clauses); (literary) to cover; to meet with
认为,認為,rèn wéi,to believe; to think; to consider; to feel
跳,,tiào,to jump; to hop; to skip over; to bounce; to palpitate
出去,,chū qù,to go out
一句话,一句話,yī jù huà,in a word; in short
震动,震動,zhèn dòng,to shake; to vibrate; to strongly affect; shock; vibration
十,,shí,ten; 10
方,,fāng,"surname Fang; square; power or involution (mathematics); upright; honest; fair and square; direction; side; party (to a contract, dispute etc); place; method; prescription (medicine); just when; only or just; classifier for square things; abbr. for square or cubic meter"
世界,,shì jiè,world; Classifiers: 个
看见,看見,kàn jiàn,to see; to catch sight of
无条件,無條件,wú tiáo jiàn,unconditional
条件,條件,tiáo jiàn,condition; circumstances; term; factor; requirement; prerequisite; qualification; Classifiers: 个
代价,代價,dài jià,price; cost; consideration (in share dealing)
为,"為, 爲",wèi,"because of; for; to; variant of 为 , because of; for; to"
很多,,hěn duō,very many; very much; great (quantity)
作为,作為,zuò wéi,one's conduct; deed; activity; accomplishment; achievement; to act as; as (in the capacity of); qua; to view as; to look upon (sth as); to take sth to be
任何,,rèn hé,any; whatever; whichever; whatsoever
或,,huò,maybe; perhaps; might; possibly; or
人身,,rén shēn,person; personal; human body
信息,,xìn xī,information; news; message
乱,亂,luàn,in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary
根本,,gēn běn,fundamental; basic; root; simply; absolutely (not); (not) at all; Classifiers: 个
练过功,練過功,liàn guò gōng,
练,練,liàn,to practice; to train; to drill; to perfect (one's skill); exercise
几,幾,jǐ,how much; how many; several; a few
十年,,shí nián,ten years
气,氣,qì,gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi
徘徊,,pái huái,to dither; to hesitate; to pace back and forth; by ext. to hover around; to linger
怎么办,怎麼辦,zěn me bàn,what's to be done
给以,給以,gěi yǐ,to give; to grant
